2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : None, id : None, command : None)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : None, id : Unix, command : Unix)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : None, id : None, command : None)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : None, id : Query, command : Query)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : None, id : Quit, command : Quit)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : 210327  3:34:13, id : Query, command : Query)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : 210327  3:34:23, id : Query, command : Query)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : 210327  3:34:33, id : Query, command : Query)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : 210327  3:34:43, id : Query, command : Query)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : 210327  3:34:53, id : Query, command : Query)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : 210327  3:35:03, id : Query, command : Query)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : 210327  3:35:13, id : Query, command : Query)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : 210327  3:35:23, id : Query, command : Query)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : 210327  3:35:33, id : Query, command : Query)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : 210327  3:35:43, id : Query, command : Query)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : 210327  3:35:53, id : Query, command : Query)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : 210327  3:36:02, id : Query, command : Query)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : None, id : Query, command : Query)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : None, id : None, command : None)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : None, id : None, command : None)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : None, id : None, command : None)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : None, id : None, command : None)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : None, id : None, command : None)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : None, id : None, command : None)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : None, id : Query, command : Query)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : None, id : Query, command : Query)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : None, id : None, command : None)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : None, id : None, command : None)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : None, id : None, command : None)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : None, id : None, command : None)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : None, id : None, command : None)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : None, id : None, command : None)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : None, id : None, command : None)
2021-03-30 17:51:07 :: main :: __init__ :: INFO  :: get time, id, command column values(time : None, id : None, command : None)
